,0,1,2,3,4,5,6,7,8,9,10
0,Abilene Christian University,4.2,4.0,3.9,3.9,3.8,3.6,3.5,3.4,3.1,3.0
1,Abraham Baldwin Agricultural College,4.4,4.0,3.9,3.6,3.6,3.5,3.5,3.4,3.1,3.1
2,Academy of Art University,3.6,3.4,3.2,3.2,3.2,3.1,3.0,2.8,2.8,2.7
3,Bryn Athyn College,4.8,4.0,3.6,3.6,3.3,3.1,2.9,2.8,2.8,2.8
4,Adams State University,3.8,3.7,3.5,3.2,3.2,3.1,3.1,3.1,3.0,2.6
5,Adelphi University,4.2,3.9,3.9,3.6,3.6,3.5,3.4,3.4,3.1,2.7
6,Agnes Scott College,4.4,4.1,3.9,3.8,3.7,3.7,3.4,3.2,2.6,2.5
7,Air Force Institute of Technology,5.0,4.3,4.3,3.7,3.3,3.0,2.3,2.3,1.3,1.3
8,Air University,4.0,3.5,3.5,3.0,3.0,3.0,3.0,2.5,2.5,1.0
9,Alabama A&M University,3.8,3.6,3.6,3.4,3.4,3.3,3.1,2.8,2.6,2.6
10,Alabama State University,3.6,3.4,3.4,3.4,3.3,3.3,3.0,2.9,2.7,2.3
11,Alaska Pacific University,4.0,4.0,3.8,3.6,3.5,3.5,3.3,3.1,3.1,2.6
12,Albany College of Pharmacy and Health Sciences,3.8,3.0,3.0,2.9,2.7,2.7,2.5,2.4,2.2,2.0
13,Albany State University,3.8,3.6,3.5,3.5,3.5,3.4,3.3,3.1,3.0,2.9
14,College of Idaho,4.5,4.4,4.4,4.3,4.2,4.1,3.9,3.9,3.7,3.1
15,Albertus Magnus College,4.3,4.0,3.9,3.7,3.6,3.6,3.6,3.0,2.4,2.3
16,Albion College,3.9,3.8,3.6,3.6,3.6,3.6,3.3,2.8,2.8,2.5
17,Albright College,3.3,3.3,3.3,3.2,3.2,3.1,2.8,2.7,2.5,2.3
18,Alcorn State University,3.7,3.5,3.5,3.5,3.3,3.3,3.1,2.9,2.5,2.3
19,Alderson Broaddus University,2.8,2.6,2.5,2.4,2.4,2.3,2.2,2.1,2.0,2.0
20,Alice Lloyd College,4.1,3.6,3.3,3.3,3.2,2.8,2.7,2.6,2.6,2.3
21,Allegheny University of the Health Sciences,,,,,,,,,,
22,Allegheny University of the Health Sciences,,,,,,,,,,
23,Allentown College of Saint Francis de Sales,,,,,,,,,,
24,Alma College,4.1,3.8,3.7,3.6,3.4,3.4,3.2,3.0,3.0,2.5
25,Alvernia University,3.9,3.6,3.5,3.4,3.3,3.3,3.1,3.0,2.9,2.5
26,Alverno College,4.3,4.2,4.0,4.0,4.0,3.8,3.6,3.5,3.3,3.1
27,American Graduate School of International Manageme,,,,,,,,,,
28,American International College,3.0,2.9,2.7,2.6,2.5,2.4,2.4,2.4,1.7,1.6
29,American University,4.5,4.4,4.4,4.1,4.0,3.9,3.7,3.5,3.4,2.9
30,Amherst College,4.8,4.6,4.6,4.3,4.0,3.9,3.9,3.5,3.2,2.8
31,Anderson University,4.0,3.8,3.8,3.7,3.5,3.4,3.3,3.1,2.8,2.7
32,Anderson University,4.4,3.9,3.7,3.6,3.6,3.5,3.4,3.1,2.8,2.6
33,Andrews University,4.6,4.0,3.8,3.7,3.6,3.4,3.4,3.4,3.2,2.7
34,Angelo State University,4.3,3.8,3.8,3.7,3.5,3.5,3.4,3.2,3.1,3.0
35,Anna Maria College,3.3,2.8,2.8,2.8,2.7,2.7,2.6,2.4,2.4,1.9
36,Antioch College,4.7,4.1,4.1,4.0,3.9,3.9,3.7,3.4,3.3,3.3
37,Antioch University: Los Angeles,4.3,3.3,3.0,3.0,3.0,2.7,2.5,2.5,2.4,2.0
38,Antioch University,4.7,4.2,4.0,3.8,3.8,3.6,3.2,3.0,3.0,2.8
39,Antioch University,3.9,3.6,3.5,3.3,3.1,2.9,2.6,2.6,2.5,2.4
40,Appalachian State University,4.5,4.5,4.4,4.4,4.1,4.1,4.1,4.0,3.5,3.4
41,Aquinas College,4.4,3.9,3.8,3.8,3.7,3.5,3.3,3.2,3.1,2.6
42,Arizona State University,4.1,4.1,4.1,4.1,4.0,4.0,3.7,3.6,3.6,3.5
43,Arkansas State University,4.2,4.1,3.8,3.8,3.7,3.7,3.4,3.4,3.2,0.0
44,Georgia Southern University - Armstrong,4.0,3.9,3.9,3.6,3.5,3.4,3.3,3.0,3.0,2.7
45,Art Academy of Cincinnati,3.5,3.5,3.4,3.3,3.1,3.1,3.1,3.0,2.6,2.1
46,Art Center College of Design,3.7,3.3,3.3,3.0,2.9,2.9,2.5,2.1,1.8,1.8
47,Art Institute of Seattle,3.4,3.3,3.0,3.0,2.9,2.8,2.7,2.5,2.3,2.1
48,Asbury Theological Seminary,5.0,4.7,4.4,4.4,3.9,3.8,3.8,3.7,3.0,2.4
49,Assumption University,4.5,4.0,3.9,3.8,3.7,3.7,3.6,3.5,3.5,2.8
50,Athena University,,,,,,,,,,
51,Auburn University,4.7,4.7,4.6,4.5,4.4,4.4,4.4,4.4,4.1,4.1
52,Auburn University at Montgomery,3.8,3.8,3.7,3.7,3.6,3.5,3.4,3.1,3.0,2.7
53,Audrey Cohen College,,,,,,,,,,
54,Augsburg University,4.0,3.9,3.9,3.8,3.6,3.6,3.4,3.3,3.1,2.5
55,Augusta University,3.6,3.4,3.3,3.2,3.2,3.2,3.1,3.0,2.8,2.6
56,Augustana University,4.2,4.1,3.8,3.7,3.5,3.3,3.2,3.2,3.1,3.0
57,Augustana College,4.2,4.1,4.0,4.0,3.8,3.6,3.2,3.2,2.9,1.9
58,Aurora University,4.0,3.3,3.2,3.2,3.2,3.1,2.9,2.7,2.6,2.6
59,Austin College,4.0,3.8,3.6,3.5,3.5,3.5,3.3,2.9,2.6,2.4
60,Austin Peay State University,4.0,3.9,3.7,3.6,3.6,3.6,3.6,3.5,3.4,3.4
61,Averett University,3.1,2.8,2.7,2.7,2.6,2.5,2.2,2.2,2.1,2.0
62,Avila University,3.9,3.7,3.7,3.5,3.4,3.3,3.0,3.0,2.6,2.5
63,Azusa Pacific University-Azusa,4.1,4.1,4.0,3.9,3.9,3.6,3.5,3.4,3.3,3.2
64,Babson College,4.8,4.7,4.5,4.2,4.2,4.2,3.8,3.5,3.5,3.0
65,Baker College,4.3,3.4,3.3,3.3,3.1,3.0,2.9,2.8,2.3,2.1
66,Baker University,4.3,3.9,3.5,3.4,3.4,3.2,3.2,3.1,3.0,2.4
67,Baldwin Wallace University,4.4,4.2,4.0,3.9,3.8,3.7,3.6,3.3,2.8,2.7
68,Ball State University,4.2,4.2,3.9,3.9,3.8,3.8,3.7,3.7,3.5,3.4
69,Baltimore Hebrew University,,,,,,,,,,
70,Bank Street College of Education,5.0,5.0,4.6,4.2,4.2,4.0,3.6,3.2,3.0,2.8
71,Barat College,,,,,,,,,,
72,Barber-Scotia College,,,,,,,,,,
73,Bard College,4.4,4.4,4.2,3.9,3.7,3.6,3.4,3.3,3.2,2.8
74,Barnard College,4.7,4.6,4.1,4.0,4.0,3.8,3.8,3.7,3.6,3.6
75,Barry University (all),3.4,3.2,3.2,3.1,3.1,3.0,2.9,2.8,2.8,2.6
76,Bassist College,,,,,,,,,,
77,Bastyr University,4.2,3.3,3.2,2.9,2.8,2.8,2.4,2.4,2.3,2.0
78,Bates College,4.6,4.5,4.4,4.4,4.3,4.2,4.2,4.0,3.8,3.3
79,Texas A&M College of Dentistry,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.0,0.0
80,Baylor College of Medicine,5.0,5.0,5.0,5.0,5.0,3.7,3.7,3.3,3.0,0.0
81,Baylor University,4.5,4.5,4.2,4.2,3.9,3.9,3.7,3.6,3.5,3.3
82,Arcadia University,3.9,3.8,3.5,3.5,3.4,3.4,3.2,2.9,2.7,2.4
83,Belhaven College,4.7,4.3,4.3,3.7,3.7,3.7,3.3,3.0,2.0,0.0
84,Bellarmine University,4.5,4.4,4.3,4.0,3.9,3.9,3.5,3.3,3.1,2.8
85,Bellevue University,3.9,3.7,3.7,3.6,3.5,3.5,3.4,3.2,2.9,2.8
86,Belmont University,4.5,4.3,4.1,4.1,4.0,4.0,3.4,3.4,3.2,2.6
87,Beloit College,4.3,4.2,4.1,4.1,3.9,3.9,3.8,3.4,3.0,2.8
88,Bemidji State University,4.1,4.1,3.8,3.8,3.4,3.4,3.3,3.3,3.1,2.9
89,Benedict College,3.5,3.4,3.2,3.2,3.0,3.0,3.0,3.0,2.7,2.3
